id,match_id,region,game_mode,elo,version,blue_one,blue_two,blue_three,blue_four,blue_five,red_one,red_two,red_three,red_four,red_five,winning_team
2002,NA1_5033344096,NA1,ARAM,UNRANKED,14.13.598.9749,Darius,Zyra,MonkeyKing,Kaisa,Jhin,Ziggs,Aphelios,Evelynn,Nami,Thresh,0
2003,NA1_5033339944,NA1,ARAM,UNRANKED,14.13.598.9749,Irelia,AurelionSol,Aatrox,Maokai,Renata,KogMaw,Malzahar,Zilean,Chogath,Tristana,0
2004,NA1_5033326467,NA1,ARAM,UNRANKED,14.13.598.9749,Blitzcrank,Nami,Vi,Elise,Thresh,Vayne,Sion,Lulu,Janna,Leblanc,1
2005,NA1_5033322752,NA1,ARAM,UNRANKED,14.13.598.9749,Renata,Irelia,Senna,Zed,Velkoz,Jinx,JarvanIV,Riven,Heimerdinger,Kayle,0
2006,NA1_5033311788,NA1,ARAM,UNRANKED,14.13.598.9749,Milio,TwistedFate,Gragas,Veigar,Jinx,Swain,Seraphine,Smolder,Lissandra,Zed,0
2007,NA1_5032736570,NA1,ARAM,PLATINUM III,14.13.598.9749,Veigar,Khazix,Velkoz,Riven,Malzahar,Blitzcrank,Vex,Teemo,Zoe,Corki,0
2008,NA1_5032732981,NA1,ARAM,UNRANKED,14.13.598.9749,Trundle,AurelionSol,Ziggs,Varus,Karma,MonkeyKing,Morgana,Kennen,Thresh,Blitzcrank,0
2009,NA1_5032724876,NA1,ARAM,UNRANKED,14.13.598.9749,Naafiri,Shaco,Tristana,Kindred,Renata,TwistedFate,Viktor,Orianna,Illaoi,Quinn,1
2010,NA1_5032645522,NA1,ARAM,UNRANKED,14.13.598.9749,TahmKench,Samira,Nilah,Xerath,Hecarim,Leblanc,Graves,Kennen,Rammus,Karma,0
2011,NA1_5032626486,NA1,ARAM,UNRANKED,14.13.598.9749,Lissandra,Annie,Corki,Volibear,Seraphine,Taliyah,Sett,Viktor,Senna,Karma,0
2012,NA1_5032607718,NA1,ARAM,UNRANKED,14.13.598.9749,MonkeyKing,Senna,Ahri,Morgana,Brand,Udyr,Akshan,Malzahar,Orianna,Heimerdinger,1
2013,NA1_5032586704,NA1,ARAM,UNRANKED,14.13.598.9749,Sona,Bard,Zeri,Veigar,Ashe,Anivia,Draven,Akshan,Tristana,Gnar,1
2014,NA1_5035173635,NA1,ARAM,UNRANKED,14.13.598.9749,Sion,Akali,Skarner,Kalista,Vex,Teemo,Ahri,Jax,XinZhao,Brand,0
2015,NA1_5035158739,NA1,ARAM,BRONZE IV,14.13.598.9749,Aphelios,Quinn,Hwei,Viktor,Aatrox,Diana,Akshan,Ahri,Neeko,Twitch,1
2016,NA1_5034521042,NA1,ARAM,UNRANKED,14.13.598.9749,Lissandra,Fiora,TwistedFate,AurelionSol,Janna,Leblanc,Aatrox,Sivir,Darius,Lulu,1
2019,NA1_5034451623,NA1,ARAM,UNRANKED,14.13.598.9749,Thresh,Jhin,Zoe,Cassiopeia,Ezreal,Blitzcrank,Ryze,Sylas,Khazix,Sett,1
2020,NA1_5033982529,NA1,ARAM,UNRANKED,14.13.598.9749,Aatrox,Renata,Teemo,Nocturne,Nami,Karthus,Zyra,LeeSin,DrMundo,Tryndamere,0
2021,NA1_5033984023,NA1,ARAM,UNRANKED,14.13.598.9749,Volibear,Ziggs,Akshan,Kayle,Sona,Ezreal,Tryndamere,Brand,Lulu,TahmKench,1
2022,NA1_5033974362,NA1,ARAM,UNRANKED,14.13.598.9749,Karma,Illaoi,LeeSin,Akali,Chogath,Milio,Kaisa,Renata,Senna,Gragas,1
2023,NA1_5033473884,NA1,ARAM,UNRANKED,14.13.598.9749,Gragas,Lissandra,Lux,Soraka,Twitch,Teemo,Swain,Corki,Nami,Urgot,0
2686,NA1_5030192156,NA1,ARAM,UNRANKED,14.13.596.7996,MissFortune,Blitzcrank,Nidalee,Zac,Kindred,Ezreal,Syndra,MonkeyKing,Viktor,Viego,1
2703,NA1_5034515128,NA1,ARAM,UNRANKED,14.13.598.9749,Vi,Quinn,Renekton,Braum,Yorick,Graves,Ahri,Ashe,Mordekaiser,Sion,1
